obs_ID,study_ID,year_pub,es,var
obs001,"Fox, C., Waddell, K., & Mousseau, T. 1995",1995,-0.365148371,0.067816092
obs002,"Fox, C., Waddell, K., & Mousseau, T. 1995",1995,0.608580619,0.069859515
obs003,"Fox, C., Waddell, K., & Mousseau, T. 1995",1995,-0.182574186,0.066954023
obs004,"Fox, C., Waddell, K., & Mousseau, T. 1995",1995,1.549193338,0.087356322
obs005,"Fox, C., Waddell, K., & Mousseau, T. 1995",1995,-0.365148371,0.067816092
obs006,"Fox, C., Waddell, K., & Mousseau, T. 1995",1995,1.5011107,0.086091954
obs007,"Fox, C., Waddell, K., & Mousseau, T. 1995",1995,0.182574186,0.066954023
obs008,"Fox, C., Waddell, K., & Mousseau, T. 1995",1995,0.547722557,0.069252874
obs009,"Fox, C., Waddell, K., & Mousseau, T. 1995",1995,0,0.066666667
obs010,"Fox, C., Waddell, K., & Mousseau, T. 1995",1995,0.981155781,0.074965517
obs011,"Fox, C., Waddell, K., & Mousseau, T. 1995",1995,0,0.066666667
obs012,"Fox, C., Waddell, K., & Mousseau, T. 1995",1995,0.981155781,0.074965517
obs013,"Fernández-González, M., Gonzalez-Barrientos, J., Carter, M., & Ramos-Jiliberto, R. 2001",2001,0.150192956,0.040115091
obs014,"Fernández-González, M., Gonzalez-Barrientos, J., Carter, M., & Ramos-Jiliberto, R. 2001",2001,-1.184585057,0.047159397
obs015,"Fernández-González, M., Gonzalez-Barrientos, J., Carter, M., & Ramos-Jiliberto, R. 2001",2001,0.537698813,0.041475102
obs016,"Fernández-González, M., Gonzalez-Barrientos, J., Carter, M., & Ramos-Jiliberto, R. 2001",2001,-0.58280956,0.041732995
obs017,"Fernández-González, M., Gonzalez-Barrientos, J., Carter, M., & Ramos-Jiliberto, R. 2001",2001,0.105575639,0.040056868
obs018,"Fernández-González, M., Gonzalez-Barrientos, J., Carter, M., & Ramos-Jiliberto, R. 2001",2001,1.767317147,0.055935765
obs019,"Burgess, S. C., & Marshall, D. J. 2011",2011,-0.949149482,1.225221185
obs020,"Burgess, S. C., & Marshall, D. J. 2011",2011,0.420414087,1.044187001
obs021,"Burgess, S. C., & Marshall, D. J. 2011",2011,-4.983481652,7.208772344
obs022,"Burgess, S. C., & Marshall, D. J. 2011",2011,2.619093763,2.714913035
obs023,"Burgess, S. C., & Marshall, D. J. 2011",2011,-1.527809569,0.450043437
obs024,"Burgess, S. C., & Marshall, D. J. 2011",2011,-1.527809569,0.450043437
obs025,"Burgess, S. C., & Marshall, D. J. 2011",2011,1.053727668,0.388850433
obs026,"Bonduriansky, R., & Head, M. 2007",2007,1.053727668,0.388850433
obs027,"Bonduriansky, R., & Head, M. 2007",2007,-0.154512456,0.094589393
obs028,"Bonduriansky, R., & Head, M. 2007",2007,-0.390925334,0.096161936
obs029,"Bonduriansky, R., & Head, M. 2007",2007,0.055068176,0.101050002
obs030,"Bonduriansky, R., & Head, M. 2007",2007,-0.172756308,0.101402795
obs031,"Marshall, D. J. 2008",2008,0.282140857,0.118890863
obs032,"Marshall, D. J. 2008",2008,0.325793528,0.119305519
obs033,"Marshall, D. J. 2008",2008,0.282140857,0.118890863
obs034,"Marshall, D. J. 2008",2008,-0.406775361,0.120232468
obs035,"Marshall, D. J. 2008",2008,0.282140857,0.118890863
obs036,"Marshall, D. J. 2008",2008,1.064339251,0.135347341
obs037,"Mitchell, S. E., & Read, A. F. 2005",2005,-0.525431118,0.012934085
obs038,"Mitchell, S. E., & Read, A. F. 2005",2005,0.363440758,0.012707687
obs039,"Or, K., & Ward, D. 2007",2007,-0.86248702,0.04973389
obs040,"Or, K., & Ward, D. 2007",2007,0.818097653,0.022490604
obs041,"Or, K., & Ward, D. 2007",2007,1.579166104,0.52740101
obs042,"Or, K., & Ward, D. 2007",2007,0.21328131,0.114788136
obs043,"Or, K., & Ward, D. 2007",2007,-0.292721652,0.026766456
obs044,"Or, K., & Ward, D. 2007",2007,-0.252028773,0.110949663
obs045,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,0.99380799,0.050056117
obs046,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,0.079853205,0.044480675
obs047,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,0.23570226,0.044760101
obs048,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,-0.047318229,0.044457166
obs049,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,0.658486398,0.046908105
obs050,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,-0.245025557,0.044785567
obs051,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,0.345418507,0.045122365
obs052,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,0.406371277,0.045382726
obs053,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,-5.658493168,2.401159059
obs054,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,0.172486188,0.401859468
obs055,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,3.513097731,1.171365979
obs056,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,3.096923448,0.999433428
obs057,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,2.150348809,0.689
obs058,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,0.161746257,0.401635116
obs059,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,0.602365921,0.422677794
obs060,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,-0.438174034,0.41199978
obs061,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,-1.07260312,0.471904841
obs062,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,-2.115057419,0.679591743
obs063,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,-2.386366223,0.755921484
obs064,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,0.173674273,0.401885172
obs065,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,-2.109661128,0.67816688
obs066,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,-0.547664348,0.418746015
obs067,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,2.458456059,0.777750387
obs068,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,-0.088575763,0.400490354
obs069,"Rotem, K., Agrawal, A., & Kott, L. 2003",2003,0.553039863,0.087240574
obs070,"Rotem, K., Agrawal, A., & Kott, L. 2003",2003,1.473350207,0.10751131
obs071,"Rotem, K., Agrawal, A., & Kott, L. 2003",2003,0.093244238,0.084010589
obs072,"Rotem, K., Agrawal, A., & Kott, L. 2003",2003,-0.114266361,0.084058006
obs073,"Salinas, S., & Munch, S. B. 2012",2012,0.300801157,0.084316826
obs074,"Salinas, S., & Munch, S. B. 2012",2012,-0.061882933,0.083374958
obs075,"Salinas, S., & Munch, S. B. 2012",2012,1.011653187,0.094457705
obs076,"Salinas, S., & Munch, S. B. 2012",2012,2.69275458,0.16214776
obs077,"Whittle, C. A., Otto, S. P., Johnston, M. O., & Krochko, J. E. 2009",2009,-0.014263034,0.020000514
obs078,"Whittle, C. A., Otto, S. P., Johnston, M. O., & Krochko, J. E. 2009",2009,0.512339911,0.020662859
obs079,"Whittle, C. A., Otto, S. P., Johnston, M. O., & Krochko, J. E. 2009",2009,0.000907026,0.020000002
obs080,"Whittle, C. A., Otto, S. P., Johnston, M. O., & Krochko, J. E. 2009",2009,0.061757847,0.020009631
obs081,"Alekseev, V., & Lampert, W. 2001",2001,0,0.666666667
obs082,"Alekseev, V., & Lampert, W. 2001",2001,0,0.666666667
obs083,"Alekseev, V., & Lampert, W. 2001",2001,0.585152116,0.709467042
obs084,"Alekseev, V., & Lampert, W. 2001",2001,1.162502204,0.835593088
obs085,"Alekseev, V., & Lampert, W. 2001",2001,0,0.666666667
obs086,"Alekseev, V., & Lampert, W. 2001",2001,-3.471773094,2.173317719
obs087,"Alekseev, V., & Lampert, W. 2001",2001,0,0.666666667
obs088,"Alekseev, V., & Lampert, W. 2001",2001,0.857283748,0.758533595
obs089,"Steinger, T., Gall, R., & Schmid, B. 2000",2000,-0.010628207,0.083334561
obs090,"Steinger, T., Gall, R., & Schmid, B. 2000",2000,0.353562098,0.084692096
