obs_ID,study_ID,year_pub,es,var
obs001,Richter-Boix et al. 2010,2010,0.327869579,0.028151036
obs002,Richter-Boix et al. 2010,2010,5.254650145,0.123650514
obs003,Richter-Boix et al. 2010,2010,-0.127359237,0.027834099
obs004,Richter-Boix et al. 2010,2010,-0.111896058,0.027821253
obs005,Richter-Boix et al. 2010,2010,0.048373467,0.027785903
obs006,Richter-Boix et al. 2010,2010,0.250203908,0.027995146
obs007,Belden et al. 2007,2007,-2.848670026,1.007182557
obs008,Distel and Boone 2010,2010,-1.423409496,0.626630912
obs009,Girish and Saidapur 2003,2003,-6.409617459,3.067699749
obs010,Ligon and Skelly 2009,2009,0.686549869,0.141189179
obs011,Ligon and Skelly 2009,2009,0.074668122,0.133426255
obs012,Ligon and Skelly 2009,2009,0.021998521,0.133341399
obs013,Ligon and Skelly 2009,2009,-0.412652234,0.136171364
obs014,Ligon and Skelly 2009,2009,0.105477402,0.133518758
obs015,Ligon and Skelly 2009,2009,-0.060554724,0.133394448
obs016,Marangoni and Tejedo 2008,2008,-2.825319876,0.665934683
obs017,Marangoni and Tejedo 2008,2008,-2.360200836,0.5654395
obs018,Marangoni and Tejedo 2008,2008,-1.67119671,0.449704102
obs019,Marangoni and Tejedo 2008,2008,-1.962233689,0.493765044
obs020,Marangoni and Tejedo 2008,2008,-2.292720029,0.55235688
obs021,Marangoni and Tejedo 2008,2008,-3.517450254,0.848852346
obs022,Marangoni and Tejedo 2008,2008,-1.028202113,0.377383316
obs023,Marangoni and Tejedo 2008,2008,-2.840119584,0.669428302
obs024,Resetarits et al. 2004,2004,-3.296206524,1.179061091
obs025,Resetarits et al. 2004,2004,-0.274683877,0.504715702
obs026,Rudolf and R?del 2007,2007,-2.469826665,0.705002188
obs027,Rudolf and R?del 2007,2007,0.661615752,0.42188677
obs028,Blouin 1992,1992,3.383345675,0.16826475
obs029,Blouin 1992,1992,4.394565949,0.198220577
obs030,Blouin 1992,1992,-0.722416144,0.329596313
obs031,Blouin 1992,1992,-1.900801147,0.292346327
obs032,Blouin 1992,1992,-0.454251587,0.205158613
obs033,Richter-Boix et al. 2004,2004,-5.420558305,3.115204361
obs034,Richter-Boix et al. 2004,2004,0.364103802,0.677714298
obs035,Richter-Boix et al. 2006,2006,-0.107423777,0.06633238
obs036,??lvarez et al. 2002,2002,0.80449721,0.308829134
obs037,??lvarez et al. 2002,2002,-6.396041703,1.746762481
obs038,Beachy 1995,1995,-0.298250566,0.075823643
obs039,Brady and Griffiths 2000,2000,-0.143885658,0.668391924
obs040,Brady and Griffiths 2000,2000,-1.5186327,0.858853773
obs041,Brady and Griffiths 2000,2000,-1.099240312,0.767360772
obs042,Brady and Griffiths 2000,2000,-2.41949887,1.154497899
obs043,Brady and Griffiths 2000,2000,-0.282647378,0.673324128
obs044,Brady and Griffiths 2000,2000,-3.03845924,1.436019546
obs045,Laurila and Kujasalo 1999,1999,3.822459852,1.130559966
obs046,Laurila and Kujasalo 1999,1999,-1.776285278,0.557759469
obs047,Laurila and Kujasalo 1999,1999,0.652723952,0.421302428
obs048,Alcobendas et al. 2004,2004,0.9328645,0.246395449
obs049,Alcobendas et al. 2004,2004,1.160685831,0.259644211
obs050,Alcobendas et al. 2004,2004,0.466297152,0.228262029
obs051,Alcobendas et al. 2004,2004,0.918209683,0.245641917
obs052,Alcobendas et al. 2004,2004,0.926517245,0.246067617
obs053,Alcobendas et al. 2004,2004,0.530883144,0.230051025
obs054,Alcobendas et al. 2004,2004,0.055103213,0.222306566
obs055,Alcobendas et al. 2004,2004,-0.086160923,0.222428436
obs056,Alcobendas et al. 2004,2004,0.24873183,0.223940765
obs057,Alcobendas et al. 2004,2004,0.211033701,0.223459312
obs058,Denver et al. 1998,1998,-3.057868884,1.445880176
obs059,Denver et al. 1998,1998,-2.703911413,1.275928077
obs060,Denver et al. 1998,1998,-4.863755483,2.638009783
obs061,Denver et al. 1998,1998,-6.718801231,4.428524165
obs062,Lane and Mahony 2002,2002,-1.808204679,0.46956684
obs063,Lane and Mahony 2002,2002,-4.056028773,1.018807059
obs064,Lane and Mahony 2002,2002,0.247722521,0.335890269
obs065,Lane and Mahony 2002,2002,0.615874497,0.349137558
obs066,Laurila et al. 2003,2003,-0.268587761,0.100901742
obs067,Laurila et al. 2003,2003,0.05024189,0.100031553
