obs_ID,study_ID,year_pub,es,var
obs001,"Fernández-González, M., Gonzalez-Barrientos, J., Carter, M., & Ramos-Jiliberto, R. 2011",2011,0.150192956,0.040115091
obs002,"Fernández-González, M., Gonzalez-Barrientos, J., Carter, M., & Ramos-Jiliberto, R. 2011",2011,1.184585057,0.047159397
obs003,"Fernández-González, M., Gonzalez-Barrientos, J., Carter, M., & Ramos-Jiliberto, R. 2011",2011,0.537698813,0.041475102
obs004,"Fernández-González, M., Gonzalez-Barrientos, J., Carter, M., & Ramos-Jiliberto, R. 2011",2011,0.58280956,0.041732995
obs005,"Fernández-González, M., Gonzalez-Barrientos, J., Carter, M., & Ramos-Jiliberto, R. 2011",2011,0.105575639,0.040056868
obs006,"Fernández-González, M., Gonzalez-Barrientos, J., Carter, M., & Ramos-Jiliberto, R. 2011",2011,-1.767317147,0.055935765
obs007,"Bonduriansky, R., & Head, M. 2007",2007,-0.154512456,0.094589393
obs008,"Bonduriansky, R., & Head, M. 2007",2007,0.390925334,0.096161936
obs009,"Bonduriansky, R., & Head, M. 2007",2007,0.055068176,0.101050002
obs010,"Bonduriansky, R., & Head, M. 2007",2007,0.172756308,0.101402795
obs011,"Marshall, D. J. 2008",2008,0.282140857,0.118890863
obs012,"Marshall, D. J. 2008",2008,-0.325793528,0.119305519
obs013,"Marshall, D. J. 2008",2008,0.282140857,0.118890863
obs014,"Marshall, D. J. 2008",2008,0.406775361,0.120232468
obs015,"Marshall, D. J. 2008",2008,0.282140857,0.118890863
obs016,"Marshall, D. J. 2008",2008,-1.064339251,0.135347341
obs017,"Mitchell, S. E., & Read, A. F. 2005",2005,-0.525431118,0.012934085
obs018,"Mitchell, S. E., & Read, A. F. 2005",2005,-0.363440758,0.012707687
obs019,"Or, K., & Ward, D. 2007",2007,-0.86248702,0.04973389
obs020,"Or, K., & Ward, D. 2007",2007,-0.818097653,0.022490604
obs021,"Or, K., & Ward, D. 2007",2007,1.579166104,0.52740101
obs022,"Or, K., & Ward, D. 2007",2007,-0.21328131,0.114788136
obs023,"Or, K., & Ward, D. 2007",2007,-0.292721652,0.026766456
obs024,"Or, K., & Ward, D. 2007",2007,0.252028773,0.110949663
obs025,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,0.99380799,0.050056117
obs026,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,-0.079853205,0.044480675
obs027,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,0.23570226,0.044760101
obs028,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,0.047318229,0.044457166
obs029,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,0.658486398,0.046908105
obs030,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,0.245025557,0.044785567
obs031,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,0.345418507,0.045122365
obs032,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,-0.406371277,0.045382726
obs033,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,-5.658493168,2.401159059
obs034,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,-0.172486188,0.401859468
obs035,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,3.513097731,1.171365979
obs036,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,-3.096923448,0.999433428
obs037,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,2.150348809,0.689
obs038,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,-0.161746257,0.401635116
obs039,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,0.602365921,0.422677794
obs040,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,0.438174034,0.41199978
obs041,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,-1.07260312,0.471904841
obs042,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,2.115057419,0.679591743
obs043,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,-2.386366223,0.755921484
obs044,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,-0.173674273,0.401885172
obs045,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,-2.109661128,0.67816688
obs046,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,0.547664348,0.418746015
obs047,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,2.458456059,0.777750387
obs048,"Pías, B., Matesanz, S., Herrero, A., Gimeno, T. E., Escudero, A., & Valladares, F. 2010",2010,0.088575763,0.400490354
obs049,"Rotem, K., Agrawal, A., & Kott, L. 2003",2003,0.553039863,0.087240574
obs050,"Rotem, K., Agrawal, A., & Kott, L. 2003",2003,-1.473350207,0.10751131
obs051,"Rotem, K., Agrawal, A., & Kott, L. 2003",2003,0.093244238,0.084010589
obs052,"Rotem, K., Agrawal, A., & Kott, L. 2003",2003,0.114266361,0.084058006
obs053,"Alekseev, V., & Lampert, W. 2001.",2001,0,0.666666667
obs054,"Alekseev, V., & Lampert, W. 2001.",2001,3.471773094,2.173317719
obs055,"Alekseev, V., & Lampert, W. 2001.",2001,0,0.666666667
obs056,"Alekseev, V., & Lampert, W. 2001.",2001,-0.857283748,0.758533595
obs057,"LaMontagne, J. M., & McCauley, E. 2001",2001,-0.189842157,0.368668891
obs058,"LaMontagne, J. M., & McCauley, E. 2001",2001,-2.886421415,0.82952381
obs059,"LaMontagne, J. M., & McCauley, E. 2001",2001,0.424264069,0.376666667
obs060,"LaMontagne, J. M., & McCauley, E. 2001",2001,1.192569588,0.445679012
obs061,"LaMontagne, J. M., & McCauley, E. 2001",2001,1.629135241,0.514115646
obs062,"LaMontagne, J. M., & McCauley, E. 2001",2001,-3.519334354,1.054761905
obs063,"LaMontagne, J. M., & McCauley, E. 2001",2001,0,0.366666667
obs064,"LaMontagne, J. M., & McCauley, E. 2001",2001,-7.000357133,3.089166666
obs065,"Hafer, N., Ebil, S., Uller, T., & Pike, N. 2011",2011,0.019233704,0.066669856
obs066,"Hafer, N., Ebil, S., Uller, T., & Pike, N. 2011",2011,-0.60724282,0.069845493
obs067,"Hafer, N., Ebil, S., Uller, T., & Pike, N. 2011",2011,-0.191393932,0.066982457
obs068,"Hafer, N., Ebil, S., Uller, T., & Pike, N. 2011",2011,-0.349420066,0.067719204
obs069,"Hafer, N., Ebil, S., Uller, T., & Pike, N. 2011",2011,0.190396121,0.066979173
obs070,"Hafer, N., Ebil, S., Uller, T., & Pike, N. 2011",2011,-0.0617336,0.06669952
obs071,"Hafer, N., Ebil, S., Uller, T., & Pike, N. 2011",2011,0.986139048,0.075050031
obs072,"Hafer, N., Ebil, S., Uller, T., & Pike, N. 2011",2011,0.155202669,0.066874321
obs073,"Gustafsson, S., Rengefors, K., & Hansson, L. 2005",2005,0.532628182,0.207880355
obs074,"Gustafsson, S., Rengefors, K., & Hansson, L. 2005",2005,-0.909571792,0.222981135
obs075,"Gustafsson, S., Rengefors, K., & Hansson, L. 2005",2005,-0.053800609,0.200080403
obs076,"Gustafsson, S., Rengefors, K., & Hansson, L. 2005",2005,-0.900568438,0.222528431
obs077,"Gustafsson, S., Rengefors, K., & Hansson, L. 2005",2005,0.069843868,0.200135505
obs078,"Gustafsson, S., Rengefors, K., & Hansson, L. 2005",2005,-0.732178128,0.214891245
obs079,"Grech, K., Maung, L. A., & Read, A. F. 2007",2007,-0.302894017,0.12652908
obs080,"Grech, K., Maung, L. A., & Read, A. F. 2007",2007,-0.817795223,0.136146484
obs081,"Grech, K., Maung, L. A., & Read, A. F. 2007",2007,-0.327399308,0.126786505
obs082,"Grech, K., Maung, L. A., & Read, A. F. 2007",2007,-1.188958449,0.14856037
obs083,"Grech, K., Maung, L. A., & Read, A. F. 2007",2007,-0.130786375,0.008565362
obs084,"Grech, K., Maung, L. A., & Read, A. F. 2007",2007,-0.029227705,0.008547925
obs085,"Grech, K., Maung, L. A., & Read, A. F. 2007",2007,0.256632451,0.010841688
obs086,"Grech, K., Maung, L. A., & Read, A. F. 2007",2007,-0.278243337,0.010857309
obs087,"Grech, K., Maung, L. A., & Read, A. F. 2007",2007,0.366890136,0.010934591
obs088,"Grech, K., Maung, L. A., & Read, A. F. 2007",2007,-0.27825964,0.010857321
obs089,"Sultan, S. E., Barton, K., & Wilczek, A. M. 2009",2009,0.666930951,0.265885603
obs090,"Sultan, S. E., Barton, K., & Wilczek, A. M. 2009",2009,-2.145116052,0.414340103
obs091,"Sultan, S. E., Barton, K., & Wilczek, A. M. 2009",2009,0.632663461,0.264295109
obs092,"Sultan, S. E., Barton, K., & Wilczek, A. M. 2009",2009,-1.635304266,0.345507859
obs093,"Sultan, S. E., Barton, K., & Wilczek, A. M. 2009",2009,-0.163808061,0.250958324
obs094,"Sultan, S. E., Barton, K., & Wilczek, A. M. 2009",2009,-1.06668,0.290635936
obs095,"Sultan, S. E., Barton, K., & Wilczek, A. M. 2009",2009,0.305236369,0.253327473
obs096,"Sultan, S. E., Barton, K., & Wilczek, A. M. 2009",2009,-1.920496554,0.38172525
obs097,"Sultan, S. E., Barton, K., & Wilczek, A. M. 2009",2009,0.798960569,0.272797785
obs098,"Sultan, S. E., Barton, K., & Wilczek, A. M. 2009",2009,0.636085282,0.26445016
obs099,"Sultan, S. E., Barton, K., & Wilczek, A. M. 2009",2009,0.201804684,0.251454469
obs100,"Sultan, S. E., Barton, K., & Wilczek, A. M. 2009",2009,0.632306994,0.264279005
obs101,"Sultan, S. E., Barton, K., & Wilczek, A. M. 2009",2009,0.609081722,0.263249305
obs102,"Sultan, S. E., Barton, K., & Wilczek, A. M. 2009",2009,1.664607621,0.348961376
obs103,"Sultan, S. E., Barton, K., & Wilczek, A. M. 2009",2009,0.463478593,0.257671872
obs104,"Sultan, S. E., Barton, K., & Wilczek, A. M. 2009",2009,0.384341997,0.25527567
obs105,"Kyneb, A., & Toft, S. 2006",2006,0.067812406,0.050029478
obs106,"Kyneb, A., & Toft, S. 2006",2006,0.031952042,0.050006544
obs107,"Kyneb, A., & Toft, S. 2006",2006,0.667018606,0.052852012
obs108,"Kyneb, A., & Toft, S. 2006",2006,0.18395191,0.050216912
obs109,"Kyneb, A., & Toft, S. 2006",2006,0.285037581,0.05052081
obs110,"Kyneb, A., & Toft, S. 2006",2006,-0.100553345,0.050064814
obs111,"Kyneb, A., & Toft, S. 2006",2006,-0.063994514,0.050026252
obs112,"Kyneb, A., & Toft, S. 2006",2006,-1.087391657,0.057579619
obs113,"Latzel, V., Hájek, T., Klimešová, J., & Gómez, S. 2009",2009,0.162426245,0.040134603
obs114,"Latzel, V., Hájek, T., Klimešová, J., & Gómez, S. 2009",2009,-0.024344799,0.040003024
obs115,"Latzel, V., Hájek, T., Klimešová, J., & Gómez, S. 2009",2009,-0.611304093,0.041906595
obs116,"Latzel, V., Hájek, T., Klimešová, J., & Gómez, S. 2009",2009,-0.161570348,0.040133189
obs117,"Latzel, V., Hájek, T., Klimešová, J., & Gómez, S. 2009",2009,-2.366641127,0.068576481
obs118,"Latzel, V., Hájek, T., Klimešová, J., & Gómez, S. 2009",2009,-0.202988574,0.040210226
obs119,"Latzel, V., Hájek, T., Klimešová, J., & Gómez, S. 2009",2009,0.112670835,0.040064769
obs120,"Latzel, V., Hájek, T., Klimešová, J., & Gómez, S. 2009",2009,0.263694639,0.04035477
obs121,"Latzel, V., Hájek, T., Klimešová, J., & Gómez, S. 2009",2009,0.050459346,0.040012991
obs122,"Latzel, V., Hájek, T., Klimešová, J., & Gómez, S. 2009",2009,0.155891213,0.04012399
obs123,"Latzel, V., Hájek, T., Klimešová, J., & Gómez, S. 2009",2009,-1.355500049,0.04937439
obs124,"Latzel, V., Hájek, T., Klimešová, J., & Gómez, S. 2009",2009,-0.130804645,0.040087295
obs125,"Latzel, V., Hájek, T., Klimešová, J., & Gómez, S. 2009",2009,-0.228664928,0.040266774
