obs_ID,study_ID,year_pub,es,var,original_es_in_MA
obs001,1,1983,0.29,0.87,lnRR
obs002,1,1983,0.37,0.87,lnRR
obs003,1,1983,0.08,0.87,lnRR
obs004,1,1983,-0.02,0.87,lnRR
obs005,2,1984,0.26,0.55,lnRR
obs006,2,1984,0.11,0.55,lnRR
obs007,2,1984,-0.17,0.55,lnRR
obs008,3,1979,-0.44,0.87,lnRR
obs009,3,1979,0.65,0.87,lnRR
obs010,4,1987,-0.65,0.77,lnRR
obs011,4,1987,-0.62,0.77,lnRR
obs012,4,1987,-0.62,0.77,lnRR
obs013,4,1987,-1.19,0.77,lnRR
obs014,4,1987,-0.21,0.77,lnRR
obs015,5,1984,-0.18,0.87,lnRR
obs016,5,1984,-0.11,0.87,lnRR
obs017,5,1984,-0.93,0.87,lnRR
obs018,6,1996,-0.04,0.87,lnRR
obs019,7,1983,-0.29,0.61,lnRR
obs020,7,1983,-0.3,0.61,lnRR
obs021,8,1985,-0.61,0.71,lnRR
obs022,9,1995,-0.51,0.43,lnRR
obs023,9,1995,-0.14,0.43,lnRR
obs024,10,1996,-0.87,0.5,lnRR
obs025,10,1996,-0.79,0.5,lnRR
obs026,10,1996,-0.11,0.5,lnRR
obs027,10,1996,-0.3,0.5,lnRR
obs028,10,1996,0.48,0.5,lnRR
obs029,10,1996,0.21,0.5,lnRR
obs030,11,1995,-0.93,0.45,lnRR
obs031,12,1995,-0.48,0.77,lnRR
obs032,12,1995,-0.41,0.77,lnRR
obs033,12,1995,-0.45,0.77,lnRR
obs034,12,1995,-0.51,0.77,lnRR
obs035,13,1982,0.69,0.71,lnRR
obs036,14,1994,-1.39,0.65,lnRR
obs037,15,1995,-0.11,0.58,lnRR
obs038,15,1995,-0.41,0.58,lnRR
obs039,16,1996,-1.56,0.87,lnRR
obs040,16,1996,-1.1,0.87,lnRR
obs041,17,1998,2.44,0.77,lnRR
obs042,17,1998,1.67,0.77,lnRR
obs043,17,1998,0.35,0.77,lnRR
obs044,17,1998,0.22,0.77,lnRR
obs045,18,1995,-1.66,0.77,lnRR
obs046,19,1995,0.34,0.58,lnRR
obs047,20,1993,-0.41,0.61,lnRR
obs048,20,1993,0.4,0.61,lnRR
obs049,20,1993,0.76,0.61,lnRR
obs050,21,1989,-1.69,0.55,lnRR
obs051,21,1989,-1.91,0.55,lnRR
obs052,21,1989,-0.31,0.55,lnRR
obs053,21,1989,-0.69,0.55,lnRR
obs054,21,1989,-1.23,0.55,lnRR
obs055,21,1989,0.08,0.55,lnRR
obs056,21,1989,0.29,0.55,lnRR
obs057,21,1989,0.85,0.55,lnRR
obs058,22,1996,1.13,0.61,lnRR
obs059,22,1996,0.84,0.61,lnRR
obs060,22,1996,1.48,0.61,lnRR
obs061,22,1996,0.93,0.61,lnRR
obs062,22,1996,0.01,0.61,lnRR
obs063,22,1996,-0.04,0.61,lnRR
obs064,22,1996,-0.39,0.61,lnRR
obs065,22,1996,0.23,0.61,lnRR
obs066,23,1986,-0.14,0.87,lnRR
obs067,24,1986,0.25,0.55,lnRR
obs068,24,1986,-0.2,0.55,lnRR
obs069,24,1986,-2.04,0.55,lnRR
obs070,24,1986,-2.35,0.55,lnRR
obs071,24,1986,-0.74,0.55,lnRR
obs072,24,1986,-0.69,0.55,lnRR
obs073,24,1986,-1.32,0.55,lnRR
obs074,24,1986,-0.85,0.55,lnRR
obs075,24,1986,-1.15,0.55,lnRR
obs076,24,1986,-0.51,0.55,lnRR
obs077,24,1986,-2.92,0.55,lnRR
obs078,24,1986,-0.85,0.55,lnRR
obs079,24,1986,-2.2,0.55,lnRR
obs080,24,1986,-1.7,0.55,lnRR
obs081,24,1986,-1.99,0.55,lnRR
obs082,24,1986,-2.15,0.55,lnRR
obs083,25,1987,-4.52,0.71,lnRR
obs084,25,1987,-3.67,0.71,lnRR
obs085,25,1987,-3.14,0.71,lnRR
obs086,25,1987,-2.3,0.71,lnRR
obs087,26,1996,-0.94,0.77,lnRR
obs088,27,1997,-1.48,0.77,lnRR
obs089,28,1979,1.06,0.55,lnRR
obs090,28,1979,0.41,0.55,lnRR
obs091,28,1979,0.09,0.55,lnRR
obs092,29,1980,-0.29,0.55,lnRR
obs093,29,1980,0.07,0.55,lnRR
obs094,29,1980,0.41,0.55,lnRR
obs095,30,1981,-0.09,0.55,lnRR
obs096,30,1981,-0.06,0.55,lnRR
obs097,30,1981,-0.23,0.55,lnRR
obs098,30,1981,-0.05,0.55,lnRR
obs099,30,1981,-0.29,0.55,lnRR
obs100,30,1981,0.04,0.55,lnRR
obs101,30,1981,-0.03,0.55,lnRR
obs102,30,1981,-0.21,0.55,lnRR
obs103,30,1981,-0.07,0.55,lnRR
obs104,30,1981,0.07,0.55,lnRR
obs105,30,1981,0.07,0.55,lnRR
obs106,30,1981,0.13,0.55,lnRR
obs107,30,1981,-0.31,0.55,lnRR
obs108,30,1981,0.22,0.55,lnRR
obs109,30,1981,0.25,0.55,lnRR
obs110,30,1981,-0.05,0.55,lnRR
obs111,31,1982,-0.33,0.27,lnRR
obs112,31,1982,-0.19,0.27,lnRR
obs113,31,1982,0.03,0.27,lnRR
obs114,31,1982,-0.1,0.27,lnRR
obs115,32,1986,-2.24,0.55,lnRR
obs116,32,1986,-2.38,0.55,lnRR
obs117,32,1986,-1.79,0.55,lnRR
obs118,32,1986,-2.97,0.55,lnRR
obs119,32,1986,-1.04,0.55,lnRR
obs120,32,1986,-1.58,0.55,lnRR
obs121,32,1986,-1.2,0.55,lnRR
obs122,32,1986,-1.15,0.55,lnRR
obs123,33,1994,-0.53,0.77,lnRR
obs124,33,1994,-0.28,0.77,lnRR
obs125,33,1994,-0.54,0.77,lnRR
obs126,33,1994,-0.68,0.77,lnRR
obs127,33,1994,-0.8,0.77,lnRR
obs128,33,1994,-1.36,0.77,lnRR
obs129,34,1978,-1.09,0.55,lnRR
obs130,34,1978,-1.12,0.55,lnRR
obs131,35,1992,-0.55,0.87,lnRR
obs132,35,1992,-0.71,0.87,lnRR
obs133,35,1992,-0.52,0.87,lnRR
obs134,35,1992,-0.79,0.87,lnRR
