obs_ID,study_ID,year_pub,es,var,original_es_in_MA
obs001,21,2005,0.0348,0.1102,lnRR
obs002,21,2005,0.0605,0.0612,lnRR
obs003,22,2008,-0.2042,0.0319,lnRR
obs004,25,2013,0.039220678,0.006634169,lnRR
obs005,26,1999,0.232193387,0.001740723,lnRR
obs006,30,1995,0.039220713,0.02539645,lnRR
obs007,30,1995,0.530628251,0.024228374,lnRR
obs008,30,1995,1.566530411,0.208716838,lnRR
obs009,30,1995,1.950186706,0.204046871,lnRR
obs010,31,1998,0.064957918,0.067278158,lnRR
obs011,33,1998,0.219470088,0.021081813,lnRR
obs012,58,1997,0.186877373,0.014624686,lnRR
obs013,58,1997,0.42803943,0.019981697,lnRR
obs014,59,1994,0.099846051,0.004367318,lnRR
obs015,59,1994,0.221340467,0.004367318,lnRR
obs016,60,1999,0.258599737,0.00395732,lnRR
obs017,71,1997,-0.566395435,0.083385911,lnRR
obs018,71,1997,-0.432864114,0.036059205,lnRR
obs019,72,1990,0.445270117,0.004367318,lnRR
obs020,80,2004,-0.042120713,0.004367318,lnRR
obs021,80,2004,0.004738725,0.004367318,lnRR
obs022,85,2000,0.1821,0.0347,lnRR
obs023,90,2008,-0.0789,1.0418,lnRR
obs024,90,2008,0.1108,0.5935,lnRR
obs025,90,2008,0.1448,0.4462,lnRR
obs026,91,2007,0.578077851,0.004367318,lnRR
obs027,91,2007,1.3368,0.033,lnRR
obs028,91,2007,1.4782,0.9641,lnRR
obs029,91,2007,1.5987,0.0629,lnRR
obs030,92,2000,1.846266739,0.065974968,lnRR
obs031,98,2004,0.213,0.051,lnRR
obs032,98,2004,0.944190569,0.004813563,lnRR
obs033,99,2005,0.0538,0.0041,lnRR
obs034,99,2005,0.443,0.0072,lnRR
obs035,100,2006,0.1775,0.0046,lnRR
obs036,101,2005,0.0425,0.0599,lnRR
obs037,101,2005,0.0496,0.0655,lnRR
obs038,102,2003,0.26744381,0.005584102,lnRR
obs039,103,2002,0.301890223,0.003695802,lnRR
obs040,104,2003,0.1718,0.0552,lnRR
obs041,106,2002,0.0068,0.1107,lnRR
obs042,107,2006,0.1071,0.1604,lnRR
obs043,108,2009,0.301430773,0.021307048,lnRR
obs044,109,2009,0.056865848,0.002384122,lnRR
obs045,113,2006,0.005524013,0.004367318,lnRR
obs046,113,2006,0.019439571,0.004367318,lnRR
obs047,114,2010,-0.046129829,0.012207397,lnRR
obs048,115,2004,-0.072861349,0.069599664,lnRR
obs049,116,1995,0.652601086,0.019028764,lnRR
obs050,120,1986,-0.3196,0.3699,lnRR
obs051,120,1986,-0.059,0.1968,lnRR
obs052,129,2009,-0.201289579,0.004367318,lnRR
obs053,129,2009,-0.065221669,0.004367318,lnRR
obs054,136,2000,-0.1852,0.2268,lnRR
obs055,136,2000,-0.0598,0.0467,lnRR
obs056,148,2001,0.056206605,0.08889077,lnRR
obs057,148,2001,0.9358,0.2256,lnRR
obs058,151,1992,0.020619287,0.017010418,lnRR
obs059,153,2013,-0.000233438,0.004367318,lnRR
obs060,153,2013,0.126185292,0.004367318,lnRR
obs061,154,2012,-0.3207,0.8066,lnRR
obs062,154,2012,0.1442,0.0267,lnRR
obs063,159,1996,0.405465108,0.12037037,lnRR
obs064,163,2001,0.432010233,1.75E-05,lnRR
obs065,163,2001,0.471639845,8.37E-05,lnRR
obs066,163,2001,0.519875459,3.46E-05,lnRR
obs067,163,2001,0.666478933,7.03E-05,lnRR
obs068,163,2001,0.673812529,3.69E-05,lnRR
obs069,163,2001,0.86325315,5.17E-05,lnRR
obs070,163,2001,0.937715622,4.68E-05,lnRR
obs071,174,2012,-0.772355233,0.061661837,lnRR
obs072,174,2012,-0.0689,0.1158,lnRR
obs073,174,2012,0.277742462,0.04367318,lnRR
obs074,174,2012,0.3145,0.0328,lnRR
obs075,190,2010,0.1171,0.0326,lnRR
obs076,191,1990,0.693147181,0.004367318,lnRR
obs077,191,1990,1.029619417,0.004367318,lnRR
obs078,197,2008,0.126372863,0.004367318,lnRR
obs079,200,2010,1.817505211,0.113512919,lnRR
obs080,207,1975,0.6277,1.1133,lnRR
obs081,207,1975,1.0256,0.1783,lnRR
obs082,212,2011,-0.1462,0.003,lnRR
obs083,212,2011,-0.0146,0.0042,lnRR
obs084,212,2011,-0.0128,0.0042,lnRR
obs085,212,2011,0,0.0025,lnRR
obs086,212,2011,0,0.0042,lnRR
obs087,212,2011,0.0797,0.0024,lnRR
obs088,213,1997,0.072221657,0.004367318,lnRR
obs089,218,1993,-0.090814887,0.004367318,lnRR
obs090,221,2012,-0.084002164,0.004367318,lnRR
obs091,221,2012,-0.031635973,0.004367318,lnRR
obs092,221,2012,-0.015629695,0.004367318,lnRR
obs093,226,2012,0.047272088,0.004367318,lnRR
obs094,226,2012,0.0505,0.0382,lnRR
obs095,226,2012,0.0985,0.0382,lnRR
obs096,226,2012,0.2347,0.0519,lnRR
obs097,226,2012,0.3835,2.5403,lnRR
obs098,226,2012,0.5878,0.0017,lnRR
obs099,235,2009,0.016998672,0.000299625,lnRR
obs100,237,1988,-0.004433618,0.004367318,lnRR
obs101,237,1988,0.056740038,0.004367318,lnRR
obs102,237,1988,0.057671176,0.004367318,lnRR
obs103,241,1998,0.02033972,0.002992081,lnRR
obs104,242,2003,-0.756625929,0.059477224,lnRR
obs105,242,2003,-0.318745721,0.03103723,lnRR
obs106,276,2003,1.767957853,0.457929528,lnRR
obs107,277,2004,-0.582893271,0.004367318,lnRR
obs108,277,2004,0.074588563,0.004367318,lnRR
obs109,280,1994,0.30661252,0.013788384,lnRR
obs110,280,1994,0.397367898,0.02168558,lnRR
obs111,280,1994,0.499129584,0.018889011,lnRR
obs112,280,1994,1.073361778,0.063619632,lnRR
obs113,280,1994,1.760576542,0.291139779,lnRR
obs114,298,2009,0.275841939,0.000425243,lnRR
obs115,298,2009,0.308048608,0.000808143,lnRR
obs116,299,2006,0.310154928,0.002922314,lnRR
obs117,299,2006,0.374693449,0.001673877,lnRR
obs118,300,2009,-0.043485112,0.002428002,lnRR
obs119,300,2009,0.0983,0.0253,lnRR
obs120,302,2008,0.3319,0.0855,lnRR
obs121,302,2008,0.3599,0.0086,lnRR
obs122,303,2013,0.07439826,0.014812011,lnRR
obs123,303,2013,0.305381638,0.010669154,lnRR
obs124,331,1981,-1.0985,0.3536,lnRR
obs125,331,1981,-0.420153358,0.004367318,lnRR
obs126,331,1981,0.677923266,0.004367318,lnRR
